frame_id,ocPitch,drv_color,drv_position,drv_type,drv_trackingId,drv_enable,drv_multiple,drv_roadBoundaryType,drv_vcs_start,drv_vcs_end,drv_vcs_predicted_start,drv_vcs_predicted_end,drv_lineWidthModel_C0,drv_lineWidthModel_C1,drv_segment_num,drv_segment_start,drv_segment_end,drv_segment_C0,drv_segment_C1,drv_segment_C2,drv_segment_C3,rb_color,rb_position,rb_type,rb_trackingID,rb_enable,rb_multiple,rb_roadBoundaryType,rb_vcs_start,rb_vcs_end,rb_vcs_predicted_start,rb_vcs_predicted_end,rb_lineWidthModel_C0,rb_lineWidthModel_C1,rb_segment_num,rb_segment_start,rb_segment_end,rb_segment_C0,rb_segment_C1,rb_segment_C2,rb_segment_C3,drv_lines_num,rb_lines_num,num_of_merged_point,merge_pos_lon,num_of_branch_point,branch_pos_lon,confidence
8,-0.0388041,1,5,2,3,1,1,1,7.66292,33.6913,6.97753,35.8971,0.190444,0.00575368,1,6.97753,35.8971,-3.7918,0.0187239,-0.000431506,7.73374e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
8,-0.0388041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,13.5375,32.141,13.7898,31.8218,0,0,1,13.7898,31.8218,-8.14461,0.153246,-0.00317592,-7.15071e-06,4,2,0,-1,0,-1,0.0291392
8,-0.0388041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10002,1,0,6,15.9985,38.9751,15.9666,37.1891,0,0,1,15.9666,37.1891,9.18686,-0.0921017,-8.28984e-05,-3.28907e-06,4,2,0,-1,0,-1,0.0291763
9,-0.0390276,2,2,2,4,1,1,1,13.6183,45.0814,12.0646,44.1391,0.18049,0.00720275,1,12.0646,44.1391,8.05676,-0.118519,0.000308392,1.05014e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,34.2539,0,-1,0.05
9,-0.0390276,1,3,3,2,1,1,1,6.04974,31.4508,5.01147,30.0291,0.183664,0.00509597,1,5.01147,30.0291,3.00027,-0.027464,-0.0013317,-2.07147e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,34.2539,0,-1,0.05
9,-0.0390276,1,4,3,1,1,1,1,5.12529,81.214,4.99606,80.4398,0.289965,0.00513212,1,4.99606,80.4398,-0.653267,-0.062521,-0.000722654,-1.37545e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,34.2539,0,-1,0.05
9,-0.0390276,1,5,2,3,1,1,1,7.64988,33.4451,6.97938,34.9077,0.189498,0.00593738,1,6.97938,34.9077,-3.79178,0.0201008,-0.000448328,9.25522e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,34.2539,0,-1,0.05
9,-0.0390276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,13.5033,31.9782,13.2236,30.8417,0,0,1,13.2236,30.8417,-8.25774,0.178644,-0.00439908,9.53301e-06,4,2,1,34.2539,0,-1,0.0407792
9,-0.0390276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10002,1,0,6,15.6514,38.6991,15.3939,37.1709,0,0,1,15.3939,37.1709,9.10713,-0.0885807,-0.000202659,-2.41036e-06,4,2,1,34.2539,0,-1,0.0407438
10,-0.0397012,2,2,2,4,1,1,1,13.5154,48.9549,12.0663,46.1464,0.186559,0.00705363,1,12.0663,46.1464,7.99518,-0.11758,0.000321435,1.04956e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,33.6965,0,-1,0.05
