SV_CAN_VER,1
Time,CAM_FC,CAM_SR,CAM_SL,CAM_SVM_F,CAM_SVM_R,CAM_SVM_L,CAM_SVM_B,Lh_Neighbor_LaneMark_Model_A_C2,Lh_Neighbor_LaneMark_Model_B_C1,Lh_Neighbor_LaneMark_Model_dA_C3,Lh_Neighbor_LaneMark_Pos_C0,Rh_Neighbor_LaneMark_Model_A_C2,Rh_Neighbor_LaneMark_Model_B_C1,Rh_Neighbor_LaneMark_Model_dA_C3,Rh_Neighbor_LaneMark_Pos_C0,LaneMarkModelA_C2_Lh_ME,LaneMarkPosition_C0_Lh_ME,LaneMarkHeadingAngle_C1_Lh_ME,LaneMarkModelDerivA_C3_Lh_ME,LaneMarkModelA_C2_Rh_ME,LaneMarkPosition_C0_Rh_ME,LaneMarkHeadingAngle_C1_Rh_ME,LaneMarkModelDerivA_C3_Rh_ME,Lh_View_End_Longitudinal_Dist,Rh_View_End_Longitudinal_Dist,Lh_View_Start_Longitudinal_Dist,Rh_View_Start_Longitudinal_Dist,LaneMark_Confidence_Ln_ME,LaneMark_Confidence_Rn_ME,Lh_Neightbor_Avail,Quality_Lh_ME,LaneMark_Confidence_Lh_ME,Quality_Rh_ME,LaneMark_Confidence_Rh_ME,Lh_Neightbor_Type,Rh_Neightbor_Type,Classification_Lh_ME,Classification_Rh_ME,Marker_Width_Lh_ME,Marker_Width_Rh_ME,Lane_Track_ID_Rh_ME,Lane_Track_ID_Lh_ME,Lh_Guardrail,Rh_Guardrail
0.638527,,,,,,,,0.000780,0.046501,0.000000,-6.480000,-0.000592,-0.002349,0.000024,3.400000,0.000848,-2.760000,0.038685,0.000007,0.000992,0.830000,0.043570,-0.000001,28.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.240000,0.280000,0.000000,0.000000,0.000000,0.000000
0.648735,,,18.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.665901,,18.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.667213,18.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.668793,,,,,,,,0.000780,0.046501,0.000000,-6.450000,-0.000653,-0.005280,0.000029,3.380000,0.000872,-2.760000,0.037708,0.000008,0.001001,0.850000,0.043570,-0.000001,28.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.240000,0.280000,0.000000,0.000000,0.000000,0.000000
0.682090,,,19.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.698576,,,,,,,,0.000780,0.046501,0.000000,-6.430000,-0.000611,-0.006257,0.000029,3.380000,0.000889,-2.750000,0.037708,0.000009,0.001004,0.870000,0.042593,-0.000001,28.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.240000,0.280000,0.000000,0.000000,0.000000,0.000000
0.699293,,19.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.700558,19.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.715416,,,20.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.728709,,,,,,,,0.000781,0.046501,0.000000,-6.410000,-0.000570,-0.008211,0.000029,3.380000,0.000903,-2.750000,0.036731,0.000009,0.001015,0.890000,0.042593,-0.000001,28.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.240000,0.280000,0.000000,0.000000,0.000000,0.000000
0.732542,,20.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.733947,20.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.748736,,,21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.758552,,,,,,,,0.000793,0.044547,0.000001,-6.390000,-0.000528,-0.009188,0.000029,3.370000,0.000889,-2.720000,0.036731,0.000010,0.001013,0.900000,0.042593,-0.000001,26.000000,68.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.240000,0.290000,0.000000,0.000000,0.000000,0.000000
0.765894,,21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.767216,21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.782066,,,22.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.788598,,,,,,,,0.000795,0.044547,0.000001,-6.370000,-0.000540,-0.012119,0.000024,3.360000,0.000926,-2.720000,0.035754,0.000012,0.001017,0.930000,0.041616,-0.000001,26.000000,68.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.240000,0.290000,0.000000,0.000000,0.000000,0.000000
0.799244,,22.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.800564,22.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.815427,,,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.818582,,,,,,,,0.000799,0.043570,0.000001,-6.330000,-0.000507,-0.014073,0.000024,3.360000,0.000974,-2.680000,0.034777,0.000013,0.001035,0.960000,0.039662,-0.000001,26.000000,68.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.240000,0.290000,0.000000,0.000000,0.000000,0.000000
0.832578,,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.833892,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.848584,,,,,,,,0.000799,0.041616,0.000002,-6.320000,-0.000440,-0.017981,0.000024,3.340000,0.000888,-2.600000,0.036731,0.000007,0.000991,0.990000,0.040639,-0.000001,24.000000,68.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.230000,0.290000,0.000000,0.000000,0.000000,0.000000
0.848751,,,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.865916,,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.867228,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.878563,,,,,,,,0.000799,0.041616,0.000002,-6.320000,0.000624,-0.041429,0.000020,3.420000,0.000888,-2.600000,0.036731,0.000007,0.000991,0.990000,0.040639,-0.000001,24.000000,68.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.230000,0.290000,0.000000,0.000000,0.000000,0.000000
0.882035,,,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.899251,,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.900626,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.908787,,,,,,,,0.000804,0.040639,0.000002,-6.280000,0.000624,-0.041429,0.000020,3.420000,0.000906,-2.570000,0.034777,0.000007,0.000986,1.020000,0.039662,-0.000001,24.000000,68.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.230000,0.290000,0.000000,0.000000,0.000000,0.000000
0.915395,,,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.932585,,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.933931,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.938589,,,,,,,,0.000807,0.039662,0.000002,-6.260000,0.000680,-0.042406,0.000020,3.380000,0.000915,-2.550000,0.034777,0.000007,0.000990,1.030000,0.038685,-0.000001,24.000000,68.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.230000,0.290000,0.000000,0.000000,0.000000,0.000000
0.948758,,,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.965931,,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.967218,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.968714,,,,,,,,0.000806,0.037708,0.000001,-6.260000,0.000709,-0.043383,0.000020,3.360000,0.001058,-2.620000,0.031846,0.000017,0.000980,1.040000,0.036731,0.000001,22.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.230000,0.280000,0.000000,0.000000,0.000000,0.000000
0.982114,,,28.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998598,,,,,,,,0.000807,0.037708,0.000001,-6.240000,0.001154,-0.056084,0.000017,3.370000,0.001060,-2.620000,0.031846,0.000015,0.000984,1.060000,0.036731,0.000000,22.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.230000,0.280000,0.000000,0.000000,0.000000,0.000000
0.999308,,28.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000557,28.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.015446,,,29.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
