frame_id,ocPitch,drv_color,drv_position,drv_type,drv_trackingId,drv_enable,drv_multiple,drv_roadBoundaryType,drv_vcs_start,drv_vcs_end,drv_vcs_predicted_start,drv_vcs_predicted_end,drv_lineWidthModel_C0,drv_lineWidthModel_C1,drv_segment_num,drv_segment_start,drv_segment_end,drv_segment_C0,drv_segment_C1,drv_segment_C2,drv_segment_C3,rb_color,rb_position,rb_type,rb_trackingID,rb_enable,rb_multiple,rb_roadBoundaryType,rb_vcs_start,rb_vcs_end,rb_vcs_predicted_start,rb_vcs_predicted_end,rb_lineWidthModel_C0,rb_lineWidthModel_C1,rb_segment_num,rb_segment_start,rb_segment_end,rb_segment_C0,rb_segment_C1,rb_segment_C2,rb_segment_C3,drv_lines_num,rb_lines_num,num_of_merged_point,merge_pos_lon,num_of_branch_point,branch_pos_lon,confidence
10,-0.0416993,1,5,3,3,1,1,1,12.318,16.0205,8.02448,15.0453,0.362961,-0.000590679,1,8.02448,15.0453,-5.80211,0.012381,-0.00055939,1.03144e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
10,-0.0416993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,7.66183,59.9649,5.67263,56.9274,0,0,1,5.67263,56.9274,2.7634,-0.00865084,0.000235096,7.58572e-08,3,1,0,-1,0,-1,0.05
11,-0.0415989,1,3,2,1,1,1,1,7.83737,77.4135,3.99723,76.9442,0.199591,0.00305058,1,3.99723,76.9442,1.42361,-0.00971876,0.000306959,5.89811e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
11,-0.0415989,1,4,3,2,1,1,1,7.86904,46.4288,4.00419,45.0456,0.207061,0.00439277,1,4.00419,45.0456,-2.08275,-0.00381627,0.000196578,-9.75824e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
11,-0.0415989,1,5,3,3,1,1,1,12.3184,16.0189,8.02207,15.041,0.364092,-0.000776369,1,8.02207,15.041,-5.73727,0.00332018,-0.0003162,-2.40803e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
11,-0.0415989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,7.6719,60.1573,4.85351,58.9308,0,0,1,4.85351,58.9308,2.75925,-0.00882,0.00023854,4.14947e-08,3,1,0,-1,0,-1,0.05
12,-0.0417515,1,3,2,1,1,1,1,7.84164,77.3677,2.99773,76.9427,0.200716,0.00287534,1,2.99773,76.9427,1.41552,-0.00936238,0.000304666,7.87905e-11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
12,-0.0417515,1,4,3,2,1,1,1,7.87351,46.4136,3.00343,45.0489,0.203884,0.00491182,1,3.00343,45.0489,-2.08614,-0.00406059,0.000201289,-1.09625e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
12,-0.0417515,1,5,3,3,1,1,1,12.3482,16.0704,7.02065,15.0437,0.36311,-0.00149107,1,7.02065,15.0437,-5.74725,0.00493034,-0.000458748,7.30676e-08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
12,-0.0417515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,7.66787,59.6615,4.02029,58.9273,0,0,1,4.02029,58.9273,2.75073,-0.00851824,0.000240043,3.48062e-09,3,1,0,-1,0,-1,0.05
13,-0.0418941,1,3,2,1,1,1,1,7.85903,77.9003,1.99844,76.9431,0.200638,0.00293935,1,1.99844,76.9431,1.408,-0.00913583,0.000302197,1.26407e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
