frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
6,2,741.247,601.012,822.265,670.275,45.8773,4.2041,0,0,12.8768,0.0522032,0,1.94868,1.57605,1.85,1.52,2.36503,-5.17458,-6.35462,-3.98959,0,45.7952,45.9594,45.7952,45.9594,50.3272,50.4914,50.3272,50.4914,5.12544,3.28275,5.12544,3.28275,5.52939,3.6867,5.52939,3.6867,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
6,3,847.758,611.912,890.963,645.804,0,0,0,0,11.3338,0.180234,0,0,0,1.85,1.52,1.06607,-2.48659,-3.01936,-1.95329,-3.22563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
6,4,875.111,612.623,922.753,655.882,0,0,0,0,11.2824,0.02202,0,0,0,1.85,1.52,1.41015,-1.71293,-2.41766,-1.00751,-0.94982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
7,1,900.859,587.421,1023.43,701.565,28.5465,-0.0852143,0,0,14.7642,0.00843154,0,1.84728,1.69648,1.85,1.52,3.62598,0.156693,-1.65585,1.97012,0,28.5493,28.5438,28.5493,28.5438,33.0993,33.0938,33.0993,33.0938,0.839782,-1.01021,0.839782,-1.01021,0.826355,-1.02364,0.826355,-1.02364,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
7,2,740.225,601.68,821.498,671.01,45.5332,4.20074,0,0,12.3156,0.0422595,0,1.94095,1.57876,1.85,1.52,2.37226,-5.20084,-6.38447,-4.01221,0,45.4509,45.6156,45.4509,45.6156,49.9828,50.1475,49.9828,50.1475,5.12207,3.27942,5.12207,3.27942,5.52729,3.68464,5.52729,3.68464,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
7,3,846.677,612.528,889.739,646.536,0,0,0,0,10.6602,0.252462,0,0,0,1.85,1.52,1.07471,-2.52718,-3.06426,-1.98954,-3.25753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
7,4,874.466,613.265,922.076,656.459,0,0,0,0,11.1283,0.0543507,0,0,0,1.85,1.52,1.40864,-1.73248,-2.43645,-1.02781,-0.969022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
8,1,900.489,587.988,1022.43,702.002,28.4216,-0.0763751,0,0,14.5972,0.0274709,0,1.83165,1.69856,1.85,1.52,3.6073,0.136364,-1.66683,1.94047,0,28.4242,28.4189,28.4242,28.4189,32.9742,32.9689,32.9742,32.9689,0.848621,-1.00137,0.848621,-1.00137,0.835582,-1.01441,0.835582,-1.01441,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
8,2,740.028,601.699,820.836,671.25,45.226,4.19269,0,0,11.9113,0.0230221,0,1.91466,1.58215,1.85,1.52,2.35842,-5.21349,-6.39023,-4.03181,0,45.1434,45.3087,45.1434,45.3087,49.6752,49.8405,49.6752,49.8405,5.114,3.27139,5.114,3.27139,5.52042,3.67782,5.52042,3.67782,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
8,3,845.549,612.97,887.914,647.04,0,0,0,0,10.278,0.348737,0,0,0,1.85,1.52,1.07153,-2.57964,-3.11513,-2.04359,-3.29083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
8,4,873.188,613.745,921.037,656.874,0,0,0,0,11.2795,0.109981,0,0,0,1.85,1.52,1.41604,-1.76675,-2.47441,-1.05837,-0.997555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
9,1,899.88,588.572,1021.33,702.211,28.3281,-0.0653912,0,0,14.5221,0.0493911,0,1.82057,1.70111,1.85,1.52,3.59277,0.111056,-1.68485,1.90792,0,27.859,27.8539,27.859,27.8539,33.3522,33.3471,33.3522,33.3471,0.870282,-0.998497,0.870282,-0.998497,0.855332,-1.01345,0.855332,-1.01345,1.70111,1.70111,0,0,1.70111,1.70111,0,0,1,1,1,0,0,0,4
9,2,739.362,601.872,819.904,671.114,44.9717,4.1886,0,0,11.6767,0.0141486,0,1.90227,1.5851,1.85,1.52,2.35047,-5.23693,-6.40969,-4.05922,0,44.5422,44.708,44.5422,44.708,49.7672,49.933,49.7672,49.933,5.07869,3.23613,5.07869,3.23613,5.54881,3.70626,5.54881,3.70626,1.5851,1.5851,0,0,1.5851,1.5851,0,0,1,1,1,0,0,0,4
9,3,844.236,613.166,886.431,647.285,0,0,0,0,10.0259,0.436199,0,0,0,1.85,1.52,1.06586,-2.62073,-3.15338,-2.08752,-3.32956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
