frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
4,5,75.457,565.942,226.607,667.615,0,0,0,0,16.1975,0.167674,0,0,0,2,2.05,1.79765,-23.5047,-22.5995,-24.3971,-20.6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
5,1,1097.61,602.54,1160.99,650.952,71.7279,-6.2138,0,0,16.8499,-1.30767,0,2.38504,1.68077,1.85,1.52,1.45406,4.89922,4.1715,5.62556,6.03851,71.8605,71.5954,71.8605,71.5954,76.3635,76.0985,76.3635,76.0985,-5.29835,-7.12926,-5.29835,-7.12926,-5.95023,-7.78115,-5.95023,-7.78115,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
5,2,1196.55,589.746,1235.75,633.252,166.632,-21.9937,0,0,15.9966,-3.39424,0,1.95,3.68186,1.9,1.95,0.899071,7.53361,7.08364,7.98271,8.22577,166.829,166.435,166.829,166.435,171.872,171.478,171.872,171.478,-21.0644,-22.923,-21.0644,-22.923,-22.1344,-23.993,-22.1344,-23.993,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
5,3,1157.16,602.725,1195.27,629.442,104.913,-12.1528,0,0,17.1166,-2.27356,0,2.14193,1.52,1.85,1.52,0.889927,6.59926,6.15393,7.04386,5.92622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
5,4,915.164,564.92,1095.34,730.339,19.6592,-0.51485,0,0,16.32,-0.449742,0,1.89311,1.6644,1.85,1.52,5.33465,1.43685,-1.23231,4.10235,0,19.6803,19.6381,19.6803,19.6381,24.2291,24.1869,24.2291,24.1869,0.40991,-1.43961,0.40991,-1.43961,0.306155,-1.54336,0.306155,-1.54336,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
5,5,39.341,565.024,193.7,669.193,0,0,0,0,14.7394,1.10077,0,0,0,2,2.05,1.74515,-24.402,-23.5231,-25.2682,-21.4999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
6,1,1100.1,601.749,1162.56,649.823,71.5043,-6.23863,0,0,16.3078,-1.08913,0,2.34504,1.67625,1.85,1.52,1.44584,4.96841,4.24479,5.69063,6.08457,71.6365,71.3722,71.6365,71.3722,76.1398,75.8756,76.1398,75.8756,-5.32311,-7.15414,-5.32311,-7.15414,-5.97297,-7.80401,-5.97297,-7.80401,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
6,2,1198.23,588.771,1238.14,631.905,166.66,-22.1236,0,0,16.2029,-3.08069,0,1.95,3.70555,1.9,1.95,0.908049,7.58726,7.13279,8.04084,8.29547,166.863,166.457,166.863,166.457,171.899,171.492,171.899,171.492,-21.1956,-23.0515,-21.1956,-23.0515,-22.2991,-24.155,-22.2991,-24.155,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
6,3,1159.92,602.156,1197.1,628.276,105.202,-12.2801,0,0,17.8909,-2.14741,0,2.09906,1.52,1.85,1.52,0.865836,6.66506,6.23179,7.09763,6.00721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
6,4,915.735,564.713,1096.27,729.341,19.5665,-0.518992,0,0,16.1507,-0.373411,0,1.88934,1.6638,1.85,1.52,5.34551,1.45924,-1.2154,4.13011,0,19.5876,19.5454,19.5876,19.5454,24.1364,24.0942,24.1364,24.0942,0.405768,-1.44375,0.405768,-1.44375,0.301917,-1.5476,0.301917,-1.5476,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
